Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"ACE2","Angiotensin Converting Enzyme 2","Protein Coding","43","GC0XM015494","59.6904106140137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2"
"TLR7","Toll Like Receptor 7","Protein Coding","43","GC0XP012867","52.9466552734375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7"
"TMPRSS2","Transmembrane Serine Protease 2","Protein Coding","42","GC21M041464","33.0062103271484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS2"
"OAS1","2'-5'-Oligoadenylate Synthetase 1","Protein Coding","39","GC12P112918","24.6747703552246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS1"
"NRP1","Neuropilin 1","Protein Coding","42","GC10M033177","23.1536235809326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP1"
"FURIN","Furin, Paired Basic Amino Acid Cleaving Enzyme","Protein Coding","41","GC15P090868","22.5704402923584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","42","GC06P080311","20.1986503601074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"CTSL","Cathepsin L","Protein Coding","42","GC09P087725","20.1397323608398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL"
"IRF3","Interferon Regulatory Factor 3","Protein Coding","40","GC19M049659","19.477237701416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF3"
"TBK1","TANK Binding Kinase 1","Protein Coding","44","GC12P064451","19.2410125732422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1"
"NLRP3","NLR Family Pyrin Domain Containing 3","Protein Coding","42","GC01P247415","17.8435802459717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3"
"IFITM3","Interferon Induced Transmembrane Protein 3","Protein Coding","38","GC11M000319","15.863639831543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM3"
"BSG","Basigin (Ok Blood Group)","Protein Coding","39","GC19P000571","15.7876739501953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG"
"IL6","Interleukin 6","Protein Coding","44","GC07P022725","15.6377830505371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"IFITM1","Interferon Induced Transmembrane Protein 1","Protein Coding","36","GC11P000313","15.4095802307129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM1"
