Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"ACE2","Angiotensin Converting Enzyme 2","Protein Coding","43","GC0XM015494","39.3742790222168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2"
"TLR7","Toll Like Receptor 7","Protein Coding","43","GC0XP012867","28.7887935638428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7"
"IL6","Interleukin 6","Protein Coding","44","GC07P022725","25.2503776550293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"TMPRSS2","Transmembrane Serine Protease 2","Protein Coding","42","GC21M041464","23.7779369354248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS2"
"TNF","Tumor Necrosis Factor","Protein Coding","46","GC06P080353","18.0065612792969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","46","GC17P063477","15.82275390625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"NLRP3","NLR Family Pyrin Domain Containing 3","Protein Coding","42","GC01P247415","14.9684085845947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3"
"CRP","C-Reactive Protein","Protein Coding","41","GC01M159726","14.9669961929321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"OAS1","2'-5'-Oligoadenylate Synthetase 1","Protein Coding","39","GC12P112918","14.1968221664429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS1"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","41","GC01M094580","14.1010770797729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"NRP1","Neuropilin 1","Protein Coding","42","GC10M033177","13.7267484664917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP1"
"IL10","Interleukin 10","Protein Coding","42","GC01M206767","13.2814245223999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","44","GC10M006010","13.2749557495117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"FURIN","Furin, Paired Basic Amino Acid Cleaving Enzyme","Protein Coding","41","GC15P090868","12.8526906967163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN"
"DPP4","Dipeptidyl Peptidase 4","Protein Coding","45","GC02M161992","12.6135549545288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
